chord_name,chord_notes,chord_root,chord_span,chord_lower_pole,chord_upper_pole,chord_mass_center,tension_note,tension_position,new_span,tension_type
Gbbaug4,"Gbb, Cb, F",Gbb,6,"Cb, Gbb","Gbb, Cb",Cb,Gb,#1,6,T4
Gbbaug4,"Gbb, Cb, F",Gbb,6,"Cb, Gbb","Gbb, Cb",Cb,Db,#5,6,T1
Gbbaug4,"Gbb, Cb, F",Gbb,6,"Cb, Gbb","Gbb, Cb",Cb,Ab,#2,6,T1
Gbbaug4,"Gbb, Cb, F",Gbb,6,"Cb, Gbb","Gbb, Cb",Cb,Eb,#6,6,T1
Gbbaug4,"Gbb, Cb, F",Gbb,6,"Cb, Gbb","Gbb, Cb",Cb,Bb,#3,6,T1
Gbbaug4,"Gbb, Cb, F",Gbb,6,"Cb, Gbb","Gbb, Cb",Cb,F,#7,6,T0
Gbbaug4,"Gbb, Cb, F",Gbb,6,"Cb, Gbb","Gbb, Cb",Cb,C,##4,6,T4
Gbbaug4,"Gbb, Cb, F",Gbb,6,"Cb, Gbb","Gbb, Cb",Cb,G,##1,6,T4
Gbbaug4,"Gbb, Cb, F",Gbb,6,"Cb, Gbb","Gbb, Cb",Cb,D,##5,6,T1
Gbbaug4,"Gbb, Cb, F",Gbb,6,"Cb, Gbb","Gbb, Cb",Cb,A,##2,6,T1
Gbbaug4,"Gbb, Cb, F",Gbb,6,"Cb, Gbb","Gbb, Cb",Cb,E,##6,6,T1
Gbbaug4,"Gbb, Cb, F",Gbb,6,"Cb, Gbb","Gbb, Cb",Cb,B,##3,6,T0
Gbbaug4,"Gbb, Cb, F",Gbb,6,"Cb, Gbb","Gbb, Cb",Cb,F#,##7,6,T4
Gbbaug4,"Gbb, Cb, F",Gbb,6,"Cb, Gbb","Gbb, Cb",Cb,C#,###4,6,T4
Gbbaug4,"Gbb, Cb, F",Gbb,6,"Cb, Gbb","Gbb, Cb",Cb,G#,###1,6,T4
Gbbaug4,"Gbb, Cb, F",Gbb,6,"Cb, Gbb","Gbb, Cb",Cb,D#,###5,6,T1
Gbbaug4,"Gbb, Cb, F",Gbb,6,"Cb, Gbb","Gbb, Cb",Cb,A#,###2,6,T1
Dbbaug4,"Dbb, Gb, C",Dbb,6,"Gb, Dbb","Dbb, Gb",Gb,Gb,#4,6,T0
Dbbaug4,"Dbb, Gb, C",Dbb,6,"Gb, Dbb","Dbb, Gb",Gb,Db,#1,6,T4
Dbbaug4,"Dbb, Gb, C",Dbb,6,"Gb, Dbb","Dbb, Gb",Gb,Ab,#5,6,T1
Dbbaug4,"Dbb, Gb, C",Dbb,6,"Gb, Dbb","Dbb, Gb",Gb,Eb,#2,6,T1
Dbbaug4,"Dbb, Gb, C",Dbb,6,"Gb, Dbb","Dbb, Gb",Gb,Bb,#6,6,T1
Dbbaug4,"Dbb, Gb, C",Dbb,6,"Gb, Dbb","Dbb, Gb",Gb,F,#3,6,T1
Dbbaug4,"Dbb, Gb, C",Dbb,6,"Gb, Dbb","Dbb, Gb",Gb,C,#7,6,T0
Dbbaug4,"Dbb, Gb, C",Dbb,6,"Gb, Dbb","Dbb, Gb",Gb,G,##4,6,T4
Dbbaug4,"Dbb, Gb, C",Dbb,6,"Gb, Dbb","Dbb, Gb",Gb,D,##1,6,T4
Dbbaug4,"Dbb, Gb, C",Dbb,6,"Gb, Dbb","Dbb, Gb",Gb,A,##5,6,T1
Dbbaug4,"Dbb, Gb, C",Dbb,6,"Gb, Dbb","Dbb, Gb",Gb,E,##2,6,T1
Dbbaug4,"Dbb, Gb, C",Dbb,6,"Gb, Dbb","Dbb, Gb",Gb,B,##6,6,T1
Dbbaug4,"Dbb, Gb, C",Dbb,6,"Gb, Dbb","Dbb, Gb",Gb,F#,##3,6,T0
Dbbaug4,"Dbb, Gb, C",Dbb,6,"Gb, Dbb","Dbb, Gb",Gb,C#,##7,6,T4
Dbbaug4,"Dbb, Gb, C",Dbb,6,"Gb, Dbb","Dbb, Gb",Gb,G#,###4,6,T4
Dbbaug4,"Dbb, Gb, C",Dbb,6,"Gb, Dbb","Dbb, Gb",Gb,D#,###1,6,T4
Dbbaug4,"Dbb, Gb, C",Dbb,6,"Gb, Dbb","Dbb, Gb",Gb,A#,###5,6,T1
Abbaug4,"Abb, Db, G",Abb,6,"Db, Abb","Abb, Db",Db,Gb,7,6,T4
Abbaug4,"Abb, Db, G",Abb,6,"Db, Abb","Abb, Db",Db,Db,#4,6,T0
Abbaug4,"Abb, Db, G",Abb,6,"Db, Abb","Abb, Db",Db,Ab,#1,6,T4
Abbaug4,"Abb, Db, G",Abb,6,"Db, Abb","Abb, Db",Db,Eb,#5,6,T1
Abbaug4,"Abb, Db, G",Abb,6,"Db, Abb","Abb, Db",Db,Bb,#2,6,T1
Abbaug4,"Abb, Db, G",Abb,6,"Db, Abb","Abb, Db",Db,F,#6,6,T1
Abbaug4,"Abb, Db, G",Abb,6,"Db, Abb","Abb, Db",Db,C,#3,6,T1
Abbaug4,"Abb, Db, G",Abb,6,"Db, Abb","Abb, Db",Db,G,#7,6,T0
Abbaug4,"Abb, Db, G",Abb,6,"Db, Abb","Abb, Db",Db,D,##4,6,T4
Abbaug4,"Abb, Db, G",Abb,6,"Db, Abb","Abb, Db",Db,A,##1,6,T4
Abbaug4,"Abb, Db, G",Abb,6,"Db, Abb","Abb, Db",Db,E,##5,6,T1
Abbaug4,"Abb, Db, G",Abb,6,"Db, Abb","Abb, Db",Db,B,##2,6,T1
Abbaug4,"Abb, Db, G",Abb,6,"Db, Abb","Abb, Db",Db,F#,##6,6,T1
Abbaug4,"Abb, Db, G",Abb,6,"Db, Abb","Abb, Db",Db,C#,##3,6,T0
Abbaug4,"Abb, Db, G",Abb,6,"Db, Abb","Abb, Db",Db,G#,##7,6,T4
Abbaug4,"Abb, Db, G",Abb,6,"Db, Abb","Abb, Db",Db,D#,###4,6,T4
Abbaug4,"Abb, Db, G",Abb,6,"Db, Abb","Abb, Db",Db,A#,###1,6,T4
Ebbaug4,"Ebb, Ab, D",Ebb,6,"Ab, Ebb","Ebb, Ab",Ab,Gb,3,6,T1
Ebbaug4,"Ebb, Ab, D",Ebb,6,"Ab, Ebb","Ebb, Ab",Ab,Db,7,6,T4
Ebbaug4,"Ebb, Ab, D",Ebb,6,"Ab, Ebb","Ebb, Ab",Ab,Ab,#4,6,T0
Ebbaug4,"Ebb, Ab, D",Ebb,6,"Ab, Ebb","Ebb, Ab",Ab,Eb,#1,6,T4
Ebbaug4,"Ebb, Ab, D",Ebb,6,"Ab, Ebb","Ebb, Ab",Ab,Bb,#5,6,T1
Ebbaug4,"Ebb, Ab, D",Ebb,6,"Ab, Ebb","Ebb, Ab",Ab,F,#2,6,T1
Ebbaug4,"Ebb, Ab, D",Ebb,6,"Ab, Ebb","Ebb, Ab",Ab,C,#6,6,T1
Ebbaug4,"Ebb, Ab, D",Ebb,6,"Ab, Ebb","Ebb, Ab",Ab,G,#3,6,T1
Ebbaug4,"Ebb, Ab, D",Ebb,6,"Ab, Ebb","Ebb, Ab",Ab,D,#7,6,T0
Ebbaug4,"Ebb, Ab, D",Ebb,6,"Ab, Ebb","Ebb, Ab",Ab,A,##4,6,T4
Ebbaug4,"Ebb, Ab, D",Ebb,6,"Ab, Ebb","Ebb, Ab",Ab,E,##1,6,T4
Ebbaug4,"Ebb, Ab, D",Ebb,6,"Ab, Ebb","Ebb, Ab",Ab,B,##5,6,T1
Ebbaug4,"Ebb, Ab, D",Ebb,6,"Ab, Ebb","Ebb, Ab",Ab,F#,##2,6,T1
Ebbaug4,"Ebb, Ab, D",Ebb,6,"Ab, Ebb","Ebb, Ab",Ab,C#,##6,6,T1
Ebbaug4,"Ebb, Ab, D",Ebb,6,"Ab, Ebb","Ebb, Ab",Ab,G#,##3,6,T0
Ebbaug4,"Ebb, Ab, D",Ebb,6,"Ab, Ebb","Ebb, Ab",Ab,D#,##7,6,T4
Ebbaug4,"Ebb, Ab, D",Ebb,6,"Ab, Ebb","Ebb, Ab",Ab,A#,###4,6,T4
